#Transcript position	Transcript coverage profile
0.0	53.66855933904719
1.0	58.70199612037144
2.0	61.32615817821633
3.0	64.41705272181139
4.0	66.57470820887008
5.0	67.1713170165866
6.0	68.65295452583064
7.0	69.26581402492822
8.0	68.28519834134748
9.0	68.81793866977232
10.0	68.32740370428326
11.0	67.6663567525322
12.0	68.50976085903594
13.0	67.66615263832568
14.0	71.46973043931943
15.0	80.95219166351964
16.0	81.2037645349596
17.0	82.68522002260667
18.0	82.6658008969515
19.0	95.47434260029766
20.0	99.1532973581945
21.0	100.42474900528546
22.0	101.77885192239529
23.0	99.41033169479587
24.0	96.11579578733166
25.0	93.29420421196278
26.0	92.47009953596803
27.0	92.18724160374344
28.0	92.86713563791488
29.0	93.39532195400486
30.0	92.2734396803006
31.0	90.96547984206927
32.0	87.84051948585564
33.0	76.8968040537456
34.0	66.1855243304018
35.0	62.91655075285934
36.0	61.55243930245572
37.0	61.06351383340088
38.0	60.6780081572668
39.0	60.93551670438495
40.0	61.853782946064285
41.0	63.598465879255485
42.0	63.73616519701213
43.0	64.62796647640248
44.0	65.16711242945689
45.0	64.25491795892948
46.0	64.07572799939778
47.0	66.43839947195258
48.0	67.33152371218469
49.0	69.36123923588008
50.0	70.87222949412339
51.0	74.5111703745713
52.0	78.24411603350978
53.0	81.21914310498978
54.0	84.2981957134109
55.0	88.71029340376866
56.0	89.84462894477564
57.0	89.91931410200365
58.0	91.17999174565249
59.0	91.47511462543252
60.0	90.23320101064988
61.0	88.56650448367544
62.0	86.13527678765524
63.0	88.46561965265242
64.0	87.89220235123348
65.0	87.70312743088563
66.0	87.45418858545051
67.0	87.82282122873707
68.0	88.62963850156056
69.0	88.43810142881881
70.0	88.38088871213634
71.0	88.16456048973805
72.0	86.72807756133727
73.0	85.63570230665805
74.0	86.97817412371931
75.0	89.39101013786905
76.0	87.58836736407082
77.0	85.47426782852517
78.0	86.24432447875574
79.0	87.55005227264988
80.0	88.94727524487723
81.0	90.45325771561554
82.0	90.27694624442688
83.0	90.70860669305046
84.0	88.14007523860654
85.0	89.48012430994613
86.0	88.47616047496653
87.0	90.12286175623528
88.0	87.9442023494093
89.0	88.86919003929519
90.0	90.4020556973663
91.0	93.71175341789595
92.0	85.72502168593674
93.0	77.51717249602298
94.0	71.25221646730394
95.0	61.470532767100195
96.0	44.25124853720239
97.0	36.818552102509685
98.0	25.50173846980213
99.0	6.287498841136825
