#Transcript position	Transcript coverage profile
0.0	53.33843571798032
1.0	59.07651999286219
2.0	61.98065842759848
3.0	64.37146547550735
4.0	66.92287319457049
5.0	67.13685659636995
6.0	68.18723839726042
7.0	68.52097474581736
8.0	68.9361513642488
9.0	69.39958674331695
10.0	68.90367227518786
11.0	68.06396176378726
12.0	68.6223488963103
13.0	68.35810538772321
14.0	71.72321948693839
15.0	79.34174096690768
16.0	79.54147747041613
17.0	80.19046917336121
18.0	80.16370412904516
19.0	92.41937196053692
20.0	96.22291952048128
21.0	97.22896402386762
22.0	98.60832290530763
23.0	97.5435817084776
24.0	95.85548358532219
25.0	93.18605597997593
26.0	91.26295477612396
27.0	91.76011112628863
28.0	90.87965366340663
29.0	90.38181615432907
30.0	89.89266603561977
31.0	88.59541993944241
32.0	86.0033277612528
33.0	77.07186136806514
34.0	68.05240543137053
35.0	64.80609834501698
36.0	64.11772242267764
37.0	64.8160281044948
38.0	63.85682686303436
39.0	64.48087138845834
40.0	64.37931610350842
41.0	64.95287584005229
42.0	65.61782681798964
43.0	65.80795670350463
44.0	66.77636268242601
45.0	66.89559409230543
46.0	66.56342515902199
47.0	67.36300699745273
48.0	67.18498745368068
49.0	69.36682129012684
50.0	72.03289062023894
51.0	75.49436560893463
52.0	80.27377199211278
53.0	82.7898484625865
54.0	85.91823253372137
55.0	89.44800405380589
56.0	89.36125693219725
57.0	90.94856342879062
58.0	92.9370413466588
59.0	93.14472775166398
60.0	90.73341314153933
61.0	89.43778395550669
62.0	88.00432231599787
63.0	90.28664256037658
64.0	89.25594155893565
65.0	89.25795780692648
66.0	89.28095021076079
67.0	89.45982924232969
68.0	90.72499326743427
69.0	89.9200815505716
70.0	88.86234574620691
71.0	89.30641184913381
72.0	87.27356460104605
73.0	86.15907311997945
74.0	87.31027395849007
75.0	89.16571599295955
76.0	87.37175895775228
77.0	84.50083839255107
78.0	86.11841055464839
79.0	88.06361608882379
80.0	89.95175493041799
81.0	91.48960983389247
82.0	92.6161191977309
83.0	95.03143458808067
84.0	94.05309025451517
85.0	94.11591974893864
86.0	92.08694247042018
87.0	92.80749460576591
88.0	89.95604470231922
89.0	89.64683358940013
90.0	90.27959151035301
91.0	93.41295148607469
92.0	86.35425163986673
93.0	80.5848553792536
94.0	74.60301834494098
95.0	63.135466516835834
96.0	45.69865082588127
97.0	39.623557066907274
98.0	26.92025859984981
99.0	6.7582225422074425
