#Transcript position	Transcript coverage profile
0.0	53.3384357179803
1.0	59.07651999286219
2.0	61.9806584275985
3.0	64.37146547550729
4.0	66.92287319457043
5.0	67.13685659637
6.0	68.18723839726047
7.0	68.52097474581744
8.0	68.9361513642488
9.0	69.39958674331706
10.0	68.90367227518784
11.0	68.06396176378728
12.0	68.6223488963103
13.0	68.3581053877231
14.0	71.72321948693839
15.0	79.34174096690768
16.0	79.54147747041624
17.0	80.19046917336121
18.0	80.16370412904523
19.0	92.41937196053692
20.0	96.22291952048128
21.0	97.22896402386766
22.0	98.6083229053076
23.0	97.54358170847756
24.0	95.85548358532219
25.0	93.18605597997595
26.0	91.26295477612395
27.0	91.7601111262887
28.0	90.87965366340667
29.0	90.38181615432914
30.0	89.89266603561975
31.0	88.59541993944242
32.0	86.0033277612528
33.0	77.07186136806517
34.0	68.05240543137054
35.0	64.80609834501702
36.0	64.11772242267759
37.0	64.8160281044948
38.0	63.85682686303434
39.0	64.48087138845837
40.0	64.3793161035084
41.0	64.95287584005223
42.0	65.6178268179897
43.0	65.80795670350469
44.0	66.77636268242607
45.0	66.89559409230542
46.0	66.56342515902202
47.0	67.36300699745283
48.0	67.18498745368068
49.0	69.36682129012681
50.0	72.0328906202389
51.0	75.4943656089347
52.0	80.27377199211274
53.0	82.78984846258653
54.0	85.9182325337214
55.0	89.44800405380593
56.0	89.36125693219732
57.0	90.94856342879069
58.0	92.9370413466587
59.0	93.14472775166395
60.0	90.73341314153934
61.0	89.4377839555067
62.0	88.00432231599783
63.0	90.28664256037662
64.0	89.25594155893567
65.0	89.25795780692653
66.0	89.28095021076079
67.0	89.45982924232972
68.0	90.72499326743429
69.0	89.92008155057167
70.0	88.86234574620688
71.0	89.30641184913382
72.0	87.27356460104613
73.0	86.15907311997954
74.0	87.31027395849003
75.0	89.1657159929595
76.0	87.37175895775225
77.0	84.50083839255106
78.0	86.11841055464849
79.0	88.06361608882371
80.0	89.95175493041798
81.0	91.4896098338925
82.0	92.61611919773091
83.0	95.03143458808073
84.0	94.05309025451521
85.0	94.11591974893864
86.0	92.08694247042017
87.0	92.80749460576588
88.0	89.95604470231919
89.0	89.64683358940015
90.0	90.27959151035303
91.0	93.41295148607475
92.0	86.3542516398666
93.0	80.58485537925354
94.0	74.603018344941
95.0	63.13546651683578
96.0	45.698650825881245
97.0	39.62355706690731
98.0	26.920258599849813
99.0	6.75822254220744
