Sample	Unique Reads	Duplicate Reads
g1_01_R1	37713.0	12287.0
g1_01_R2	37656.0	12344.0
g1_02_R1	38653.0	11347.0
g1_02_R2	38830.0	11170.0
g1_03_R1	37649.0	12351.0
g1_03_R2	37793.0	12207.0
g3_01_R1	38201.0	11799.0
g3_01_R2	38307.0	11693.0
g3_02_R1	36001.0	13999.0
g3_02_R2	36104.0	13896.0
g3_03_R1	36991.0	13009.0
g3_03_R2	37044.0	12956.0
