Sample	Unique Reads	Duplicate Reads
g1_01-trimmed-pair1	37180.0	11849.0
g1_01-trimmed-pair2	37207.0	11822.0
g1_02-trimmed-pair1	38200.0	10995.0
g1_02-trimmed-pair2	38472.0	10723.0
g1_03-trimmed-pair1	37178.0	11914.0
g1_03-trimmed-pair2	37387.0	11705.0
g3_01-trimmed-pair1	37729.0	11414.0
g3_01-trimmed-pair2	37884.0	11259.0
g3_02-trimmed-pair1	35521.0	13516.0
g3_02-trimmed-pair2	35671.0	13366.0
g3_03-trimmed-pair1	36501.0	12592.0
g3_03-trimmed-pair2	36590.0	12503.0
