#Transcript position	Transcript coverage profile
0.0	52.324168595040355
1.0	56.98110314959732
2.0	59.783397106472286
3.0	62.593394837857645
4.0	64.4846072561538
5.0	64.71995134653629
6.0	65.21407655070034
7.0	65.56450057232648
8.0	65.25675732926142
9.0	66.41395992532301
10.0	66.28896665670635
11.0	66.58821041971702
12.0	66.77930656681268
13.0	64.9616201910085
14.0	68.33303742949732
15.0	77.83574969486043
16.0	77.70855083763603
17.0	78.69351593686214
18.0	78.56552582616841
19.0	91.8432763494285
20.0	94.49286016704878
21.0	95.01329152624602
22.0	95.61054239636077
23.0	92.7928911993478
24.0	90.76349424375908
25.0	88.39053278069058
26.0	86.84238937567682
27.0	85.87580380654029
28.0	85.77664545534681
29.0	86.2722751881358
30.0	84.27846204697643
31.0	82.74538960545749
32.0	79.55116479632822
33.0	71.1134176836671
34.0	61.71107063958842
35.0	58.64291182196096
36.0	57.46483660986452
37.0	56.66314533088368
38.0	56.44489675899889
39.0	57.8525790216415
40.0	57.997128196237426
41.0	58.73414593974052
42.0	60.634106546394115
43.0	62.29867949562302
44.0	62.22039897546615
45.0	61.81442064369811
46.0	62.219345829488226
47.0	62.365571620772755
48.0	62.66861981608297
49.0	64.6050451219746
50.0	65.8747066819303
51.0	69.50344090587808
52.0	73.190056083947
53.0	75.49592590756345
54.0	78.89854131738231
55.0	82.64576991073606
56.0	83.06059948482063
57.0	83.7467577226797
58.0	86.93276296669929
59.0	88.27012666095922
60.0	88.45998972476976
61.0	86.87833018706237
62.0	84.41095711451354
63.0	84.86415848245568
64.0	83.89342624841878
65.0	83.83976686095912
66.0	84.42586159661798
67.0	86.05100916668243
68.0	86.42603103217253
69.0	86.91261667699094
70.0	87.1829158623666
71.0	85.25779292709242
72.0	83.36662327366258
73.0	81.45642054739108
74.0	83.04551330941153
75.0	85.60255100509761
76.0	84.35374227327765
77.0	82.86302666865559
78.0	86.78499864876392
79.0	89.83915613615972
80.0	90.55446618591287
81.0	91.77031278442824
82.0	92.34309050817919
83.0	94.16601304175809
84.0	92.15165523551282
85.0	90.92588563599837
86.0	88.95725304700788
87.0	89.33330888901678
88.0	87.29818189888584
89.0	88.48368709811538
90.0	89.64284327622124
91.0	93.3755505429505
92.0	85.58681379911812
93.0	79.06378929430474
94.0	75.08519270954919
95.0	64.160657006884
96.0	47.133630332532356
97.0	39.22243373893242
98.0	25.98824664656457
99.0	6.253320060952128
