#Transcript position	Transcript coverage profile
0.0	59.5686071302518
1.0	64.20412269020119
2.0	65.97211335231053
3.0	68.07762285427134
4.0	69.824928754714
5.0	69.88961459887189
6.0	69.94050308205887
7.0	70.52697386405416
8.0	69.64544956657602
9.0	68.54829901939922
10.0	67.3966405499775
11.0	66.47735877556579
12.0	66.21717218572908
13.0	64.32988216419712
14.0	68.511131098078
15.0	78.07930716538503
16.0	78.38480110887545
17.0	79.8657370753018
18.0	79.14471939001777
19.0	92.24440920767904
20.0	96.5049194123826
21.0	98.39380911907617
22.0	100.75124800503806
23.0	98.28763638678203
24.0	96.45431358262803
25.0	94.3360416727415
26.0	91.40974574249579
27.0	90.69202301529597
28.0	90.10462491209451
29.0	89.49381735427907
30.0	86.56768139772274
31.0	84.07248178171263
32.0	80.86471856927861
33.0	71.7069217909988
34.0	61.433582102394084
35.0	57.0816202650381
36.0	55.45943614099406
37.0	55.40039529978393
38.0	55.24934580801964
39.0	55.11963871248796
40.0	55.34507637584266
41.0	57.011739854606965
42.0	58.00256006250487
43.0	58.50192753000585
44.0	59.21226154150996
45.0	58.80315368485412
46.0	59.37986845404173
47.0	61.01782906425992
48.0	61.10082372945695
49.0	62.05276879892611
50.0	64.67068748703961
51.0	68.04963140093605
52.0	72.48606610277515
53.0	76.8107067086194
54.0	82.13873523904253
55.0	85.86858833084948
56.0	87.77285353402212
57.0	89.75706621289618
58.0	91.79803923832195
59.0	92.0921266129052
60.0	90.88246344393426
61.0	87.74884004417262
62.0	86.45678564929453
63.0	87.60942418802554
64.0	86.74123743635668
65.0	85.92173747464305
66.0	85.66862566544889
67.0	85.86668141522459
68.0	87.62311361964855
69.0	88.15932707139818
70.0	88.05754243914384
71.0	87.86778077598393
72.0	85.23662912314684
73.0	83.30450633130152
74.0	84.85650279484942
75.0	87.02425409788539
76.0	85.47857976772711
77.0	82.8890244308101
78.0	84.37563544934403
79.0	86.389383532484
80.0	88.0075875181728
81.0	88.97562430653119
82.0	90.246445940415
83.0	91.85622212294372
84.0	91.08669408563405
85.0	91.0367612167428
86.0	88.06909022684636
87.0	88.82923560597223
88.0	86.32897394509794
89.0	87.68279727549162
90.0	90.57087260297396
91.0	94.33642501317227
92.0	85.76728894407131
93.0	78.58748015377353
94.0	74.58173573297171
95.0	64.15920245140813
96.0	45.005526399220656
97.0	37.48982345762987
98.0	26.4670210908184
99.0	5.837534308618714
