N_unmapped	137	137	137
N_multimapping	2485	2485	2485
N_noFeature	4111	25647	25778
N_ambiguous	69	1	4
FBgn0040037	11	6	5
FBgn0052011	0	0	0
FBgn0052010	4	3	1
FBgn0052009	0	0	0
FBgn0025740	252	114	138
FBgn0004859	679	330	349
FBgn0017545	3776	1892	1884
FBgn0085432	225	111	114
FBgn0011747	813	406	407
FBgn0052000	731	389	342
FBgn0052006	12	6	6
FBgn0051997	469	244	225
FBgn0053978	1084	566	518
FBgn0039889	136	65	71
FBgn0039890	342	165	177
FBgn0051998	445	217	228
FBgn0024811	248	135	113
FBgn0051999	216	124	92
FBgn0039896	147	82	65
FBgn0039897	277	144	133
FBgn0053481	59	28	33
FBgn0259216	38	24	16
FBgn0042696	140	72	68
FBgn0039900	100	51	49
FBgn0026777	325	155	170
FBgn0039902	251	131	120
FBgn0052850	160	71	90
FBgn0259214	1302	649	654
FBgn0039904	430	225	205
FBgn0039905	100	53	47
FBgn0039907	345	177	168
FBgn0016126	507	266	241
FBgn0026262	548	273	275
FBgn0041005	42	22	20
FBgn0039908	268	126	142
FBgn0004607	489	256	233
FBgn0026869	622	307	315
FBgn0022361	154	74	80
FBgn0039909	388	184	204
FBgn0040324	266	133	133
FBgn0039911	44	22	22
FBgn0028996	133	58	75
FBgn0025936	450	232	218
FBgn0039914	210	104	106
FBgn0039915	73	40	33
FBgn0039916	32	17	15
FBgn0051992	1086	557	530
FBgn0024728	257	134	124
FBgn0039920	175	98	78
FBgn0026199	240	111	130
FBgn0005558	35	12	23
FBgn0005666	984	518	466
FBgn0039923	406	197	209
FBgn0039939	0	0	0
FBgn0039938	173	79	94
FBgn0039937	8	4	4
FBgn0053797	0	0	0
FBgn0039936	629	311	318
FBgn0025726	960	456	504
FBgn0052021	44	16	28
FBgn0023213	1163	570	593
FBgn0019985	49	23	26
FBgn0052016	345	147	198
FBgn0039932	14	7	7
FBgn0083990	2	1	1
FBgn0019650	59	30	29
FBgn0025741	791	388	403
FBgn0039930	25	10	15
FBgn0039929	127	55	72
FBgn0010217	2815	1436	1379
FBgn0004624	618	319	299
FBgn0011642	373	202	171
FBgn0087002	11566	5815	5751
FBgn0024913	76	42	34
FBgn0005561	49	26	23
FBgn0039928	902	422	480
FBgn0013749	150	70	80
FBgn0039927	161	88	73
FBgn0052017	89	50	39
FBgn0039925	9	4	5
FBgn0002521	227	120	107
FBgn0250819	260	173	145
FBgn0039924	213	129	143
FBgn0067895	194	82	113
FBgn0069921	1	1	0
FBgn0027101	341	160	181
FBgn0053653	239	118	121
