N_unmapped	103	103	103
N_multimapping	2567	2567	2567
N_noFeature	4555	25697	26114
N_ambiguous	79	3	2
FBgn0040037	31	15	16
FBgn0052011	0	0	0
FBgn0052010	2	2	0
FBgn0052009	1	1	0
FBgn0025740	248	126	122
FBgn0004859	670	323	347
FBgn0017545	3610	1801	1809
FBgn0085432	200	113	87
FBgn0011747	816	410	406
FBgn0052000	663	341	322
FBgn0052006	25	16	9
FBgn0051997	501	260	241
FBgn0053978	1041	520	521
FBgn0039889	117	57	60
FBgn0039890	339	168	171
FBgn0051998	371	175	196
FBgn0024811	229	116	113
FBgn0051999	245	123	122
FBgn0039896	133	72	61
FBgn0039897	480	217	263
FBgn0053481	61	29	37
FBgn0259216	28	13	20
FBgn0042696	245	121	124
FBgn0039900	74	40	34
FBgn0026777	302	165	137
FBgn0039902	257	132	125
FBgn0052850	120	57	63
FBgn0259214	1566	799	767
FBgn0039904	452	237	215
FBgn0039905	115	61	54
FBgn0039907	383	178	205
FBgn0016126	429	226	203
FBgn0026262	492	231	261
FBgn0041005	39	20	19
FBgn0039908	294	146	148
FBgn0004607	383	185	199
FBgn0026869	586	306	280
FBgn0022361	146	74	72
FBgn0039909	551	257	294
FBgn0040324	265	137	128
FBgn0039911	50	27	23
FBgn0028996	133	58	75
FBgn0025936	468	231	237
FBgn0039914	224	114	110
FBgn0039915	130	75	55
FBgn0039916	35	16	19
FBgn0051992	1212	653	560
FBgn0024728	266	129	138
FBgn0039920	207	108	99
FBgn0026199	214	119	95
FBgn0005558	35	20	15
FBgn0005666	1757	889	868
FBgn0039923	443	217	226
FBgn0039939	0	0	0
FBgn0039938	189	101	88
FBgn0039937	3	0	3
FBgn0053797	0	0	0
FBgn0039936	646	309	337
FBgn0025726	1005	493	513
FBgn0052021	26	15	11
FBgn0023213	1124	535	589
FBgn0019985	48	29	19
FBgn0052016	353	176	177
FBgn0039932	8	3	5
FBgn0083990	5	3	2
FBgn0019650	54	24	30
FBgn0025741	836	429	407
FBgn0039930	22	15	7
FBgn0039929	159	85	74
FBgn0010217	4152	2101	2051
FBgn0004624	590	317	273
FBgn0011642	337	175	162
FBgn0087002	8374	4299	4075
FBgn0024913	79	36	43
FBgn0005561	57	26	31
FBgn0039928	896	443	455
FBgn0013749	177	87	91
FBgn0039927	168	88	80
FBgn0052017	79	41	38
FBgn0039925	3	2	1
FBgn0002521	223	110	113
FBgn0250819	371	222	214
FBgn0039924	186	132	119
FBgn0067895	198	95	103
FBgn0069921	0	0	0
FBgn0027101	346	168	178
FBgn0053653	298	145	154
